stage,method,geometry,family,mask,pooling,classifier,dim,oof_acc,oof_n,cv_acc,cv_std,cv_f1,cv_folds,epoch_budget,fold_epochs,test_ensemble_acc,test_ensemble_f1,test_refit_acc,test_refit_f1,refit_unreliable,test_n,test_single_acc,test_single_f1,test_ensemble_correct,test_ensemble_ci,test_refit_correct,test_refit_ci
probe,dinov3_b16,g32_t5,frozen,masked,avg,linear,3840,88.66749688667497,1606,88.66624097830925,1.3069221867599459,0.8860240928932317,"[90.6832298136646, 87.53894080996885, 87.53894080996885, 88.47352024922118, 89.09657320872275]",4,"[6, 15, 3, 3, 4]",92.73743016759776,0.9270276002978199,92.73743016759776,0.9272383237295518,False,179,93.29608938547486,0.93279427359491,166,"[88.0,95.7]",166,"[88.0,95.7]"
probe,dinov3_b16,g32_t5,frozen,masked,avg,mlp,3840,87.48443337484434,1606,87.48418180762755,1.3677255928127872,0.874336938146729,"[87.88819875776397, 86.6043613707165, 86.6043613707165, 86.6043613707165, 89.7196261682243]",6,"[13, 6, 3, 9, 5]",92.73743016759776,0.9275633988449489,93.29608938547486,0.9324529141442494,False,179,91.06145251396647,0.9112564282958349,166,"[88.0,95.7]",167,"[88.6,96.1]"
probe,dinov3_b16,g32_t5,frozen,masked,max,linear,3840,89.1656288916563,1606,89.16565081945008,1.500235110754049,0.891265470894876,"[89.13043478260869, 87.85046728971963, 90.34267912772586, 87.53894080996885, 90.96573208722741]",8,"[20, 13, 3, 8, 6]",92.73743016759776,0.9280710835058661,91.62011173184358,0.9169083281014878,False,179,93.85474860335195,0.9390614216701173,166,"[88.0,95.7]",164,"[86.6,94.9]"
probe,dinov3_b16,g32_t5,frozen,masked,max,mlp,3840,88.72976338729764,1606,88.729513747799,1.349581478548322,0.8868586360540067,"[89.13043478260869, 86.91588785046729, 89.40809968847351, 87.85046728971963, 90.34267912772586]",6,"[15, 6, 8, 6, 3]",91.62011173184358,0.9171313743557048,93.85474860335195,0.9385409533420634,False,179,88.26815642458101,0.8840742498957609,164,"[86.6,94.9]",168,"[89.3,96.5]"
probe,dinov3_b16,g32_t5,frozen,masked,avg+max,linear,7680,88.23163138231631,1606,88.23126487490566,0.7821189174450195,0.8818203183522538,"[88.81987577639751, 87.22741433021807, 88.78504672897196, 87.53894080996885, 88.78504672897196]",6,"[6, 6, 6, 5, 5]",91.62011173184358,0.9168025362318841,92.17877094972067,0.9216430718126678,False,179,92.73743016759776,0.9274199362179802,164,"[86.6,94.9]",165,"[87.3,95.3]"
probe,dinov3_b16,g32_t5,frozen,masked,avg+max,mlp,7680,88.23163138231631,1606,88.23184535902944,1.3802508646362834,0.8819336290010449,"[87.88819875776397, 86.29283489096574, 89.40809968847351, 87.85046728971963, 89.7196261682243]",3,"[11, 4, 3, 3, 3]",93.29608938547486,0.9332889148611517,92.73743016759776,0.9272965571925652,True,179,91.62011173184358,0.9171710565525202,167,"[88.6,96.1]",166,"[88.0,95.7]"
probe,dinov3_b16,g32_t5,frozen,nomask,avg,linear,3840,86.92403486924036,1606,86.92304715466032,1.977393509655609,0.8683538197322831,"[88.50931677018633, 87.22741433021807, 87.53894080996885, 87.85046728971963, 83.48909657320873]",5,"[6, 3, 5, 3, 11]",89.94413407821229,0.899108138238573,89.3854748603352,0.8927385265700484,False,179,91.06145251396647,0.9102081610146127,161,"[84.7,93.5]",160,"[84.0,93.1]"
probe,dinov3_b16,g32_t5,frozen,nomask,avg,mlp,3840,86.23910336239103,1606,86.23904336216404,1.7124721107814986,0.8614628706706988,"[86.33540372670807, 85.66978193146417, 86.91588785046729, 88.47352024922118, 83.8006230529595]",4,"[6, 5, 3, 3, 4]",89.94413407821229,0.8993016141477571,89.3854748603352,0.8934871780016538,False,179,89.94413407821229,0.8998188446670577,161,"[84.7,93.5]",160,"[84.0,93.1]"
probe,dinov3_b16,g32_t5,frozen,nomask,max,linear,3840,86.6749688667497,1606,86.67459994969138,2.154219433935821,0.8666368247149101,"[87.26708074534162, 84.42367601246106, 90.03115264797508, 86.29283489096574, 85.35825545171339]",5,"[8, 5, 2, 9, 1]",90.5027932960894,0.9048399120827881,90.5027932960894,0.905331496345617,False,179,91.62011173184358,0.9167753477795614,162,"[85.3,94.0]",162,"[85.3,94.0]"
probe,dinov3_b16,g32_t5,frozen,nomask,max,mlp,3840,87.29763387297635,1606,87.29823339331669,1.4439882729773637,0.872665144545512,"[86.33540372670807, 85.66978193146417, 89.40809968847351, 87.22741433021807, 87.85046728971963]",5,"[6, 5, 3, 13, 3]",93.29608938547486,0.9329837724999015,91.06145251396647,0.9106168595381396,False,179,93.29608938547486,0.9325338639854769,167,"[88.6,96.1]",163,"[86.0,94.4]"
